,Country/Region,date_first_case,date_first_death,days_c1_to_d1,date,cases,deaths
0,Afghanistan,2020-02-24,2020-03-22,27.0,2021-07-07,129021,5415
1,Albania,2020-03-09,2020-03-11,2.0,2021-07-07,132557,2456
2,Algeria,2020-02-25,2020-03-12,16.0,2021-07-07,143032,3786
3,Andorra,2020-03-02,2020-03-22,20.0,2021-07-07,14021,127
4,Angola,2020-03-20,2020-03-29,9.0,2021-07-07,39491,925
5,Antigua and Barbuda,2020-03-13,2020-04-07,25.0,2021-07-07,1265,42
6,Argentina,2020-03-03,2020-03-08,5.0,2021-07-07,4593763,97439
7,Armenia,2020-03-01,2020-03-26,25.0,2021-07-07,225801,4531
8,Australia,2020-01-26,2020-03-01,35.0,2021-07-07,30903,910
9,Austria,2020-02-25,2020-03-12,16.0,2021-07-07,651008,10719
10,Azerbaijan,2020-03-01,2020-03-13,12.0,2021-07-07,336684,4979
11,Bahamas,2020-03-16,2020-04-01,16.0,2021-07-07,12965,252
12,Bahrain,2020-02-24,2020-03-16,21.0,2021-07-07,266797,1367
13,Bangladesh,2020-03-08,2020-03-18,10.0,2021-07-07,977568,15593
14,Barbados,2020-03-17,2020-04-05,19.0,2021-07-07,4108,47
15,Belarus,2020-02-28,2020-03-31,32.0,2021-07-07,423519,3214
16,Belgium,2020-02-04,2020-03-11,36.0,2021-07-07,1091095,25196
17,Belize,2020-03-23,2020-04-06,14.0,2021-07-07,13444,330
18,Benin,2020-03-16,2020-04-06,21.0,2021-07-07,8227,105
19,Bhutan,2020-03-06,2021-01-08,308.0,2021-07-07,2249,1
20,Bolivia,2020-03-11,2020-03-29,18.0,2021-07-07,449687,17067
21,Bosnia and Herzegovina,2020-03-05,2020-03-21,16.0,2021-07-07,205047,9667
22,Botswana,2020-03-30,2020-03-31,1.0,2021-07-07,73977,1188
23,Brazil,2020-02-26,2020-03-17,20.0,2021-07-07,18909037,528540
24,Brunei,2020-03-09,2020-03-28,19.0,2021-07-07,266,3
25,Bulgaria,2020-03-08,2020-03-11,3.0,2021-07-07,422298,18129
26,Burkina Faso,2020-03-10,2020-03-18,8.0,2021-07-07,13504,168
27,Burma,2020-03-27,2020-03-31,4.0,2021-07-07,175923,3570
28,Burundi,2020-03-31,2020-04-13,13.0,2021-07-07,5559,8
29,Cabo Verde,2020-03-20,2020-03-24,4.0,2021-07-07,32827,289
30,Cambodia,2020-01-27,2021-03-11,409.0,2021-07-07,57103,798
31,Cameroon,2020-03-06,2020-03-25,19.0,2021-07-07,80858,1324
32,Canada,2020-01-26,2020-03-09,43.0,2021-07-07,1426122,26356
33,Central African Republic,2020-03-15,2020-05-23,69.0,2021-07-07,7141,98
34,Chad,2020-03-19,2020-04-28,40.0,2021-07-07,4952,174
35,Chile,2020-02-23,2020-03-22,28.0,2021-07-07,1576336,33328
36,China,2020-01-22,2020-01-23,1.0,2021-07-07,23834,124
37,Colombia,2020-03-06,2020-03-22,16.0,2021-07-07,4426811,110578
38,Comoros,2020-04-30,2020-05-06,6.0,2021-07-07,3966,146
39,Congo (Brazzaville),2020-03-15,2020-04-02,18.0,2021-07-07,12790,167
40,Congo (Kinshasa),2020-03-11,2020-03-21,10.0,2021-07-07,43019,969
41,Costa Rica,2020-03-06,2020-03-19,13.0,2021-07-07,377091,4753
42,Cote d'Ivoire,2020-03-11,2020-03-29,18.0,2021-07-07,48693,316
43,Croatia,2020-02-25,2020-03-19,23.0,2021-07-07,360483,8224
44,Cuba,2020-03-12,2020-03-18,6.0,2021-07-07,214577,1405
45,Cyprus,2020-03-09,2020-03-22,13.0,2021-07-07,80588,380
46,Czechia,2020-03-01,2020-03-22,21.0,2021-07-07,1668277,30311
47,Denmark,2020-02-27,2020-03-14,16.0,2021-07-07,297739,2539
